V.1.1.C.A. Matriculación por tipos de vehículos y Comunidades Autónomas. Año 2017.;;;;;;;;;
;;;;;;;;;
COMUNIDADES AUTÓNOMAS;"Camiones
<= 3500";Furgonetas;"Camiones >
3500";Autobuses;Turismos;Motocicletas;Tractores;Otros;Total
Andalucía;7450;11017;1403;493;157084;27213;3219;834;208713
Aragón;1359;2172;293;78;28468;2700;944;141;36155
Asturias (Principado de);591;1636;167;94;21163;1906;315;210;26082
Balears (Illes);2549;2581;218;213;51529;6532;64;31;63717
Canarias;10167;4414;363;321;63121;6768;141;342;85637
Cantabria;450;797;81;33;11560;1313;397;63;14694
Castilla y León;1606;3278;377;261;42992;2996;1327;339;53176
Castilla-La Mancha;3113;4501;473;205;59818;3085;1260;81;72536
Cataluña;11274;18603;2048;527;207182;37978;2186;1520;281318
Comunitat Valenciana;5486;8478;919;220;152531;14882;1790;663;184969
Extremadura;790;1177;164;42;15820;1364;398;25;19780
Galicia;1543;3672;470;273;48578;3954;1041;439;59970
Madrid (Comunidad de);14964;41258;1701;774;382701;22797;3401;641;468237
Murcia (Región de);1889;2261;527;70;31637;4248;1956;202;42790
Navarra (Comunidad Foral de);548;1139;91;79;13481;1160;530;199;17227
País Vasco;1837;3179;290;321;44350;4476;602;814;55869
Rioja (La);378;583;127;33;6756;553;163;12;8605
Ceuta y Melilla;93;291;1;1;3240;1030;0;14;4670
Total;66087;111037;9713;4038;1342011;144955;19734;6570;1704145
