Tabla 34.- V.1.1.C.A. Matriculación por tipos de vehículos y Comunidades Autónomas. Año 2021.;;;;;;;;;
;;;;;;;;;
"Comunidades
Autónomas";"Camiones
<= 3500";Furgonetas;"Camiones >
3500";Autobuses;Turismos;Motocicletas;"Tractores
industriales";"Otros
vehículos";TOTAL
Andalucía;6.261;11.447;1.306;90;104.798;34.325;2.594;1.497;162.318
Aragón;850;1.886;248;23;19.036;3.301;746;296;26.386
"Asturias
(Principado de)";695;1.554;130;46;12.921;2.373;170;418;18.307
Balears (Illes);1.237;1.675;130;59;24.862;5.225;27;85;33.300
Canarias;5.004;3.099;232;58;37.903;8.143;84;712;55.235
Cantabria;359;712;68;7;10.121;1.826;280;79;13.452
Castilla y León;1.568;3.341;418;100;29.927;8.911;835;513;45.613
Castilla-La Mancha;1.264;2.353;567;52;27.180;4.029;1.232;153;36.830
Cataluña;6.734;12.765;1.912;344;128.611;41.790;2.076;2.261;196.493
Comunitat Valenciana;4.278;7.103;804;146;90.538;17.698;1.806;916;123.289
Extremadura;667;1.153;183;18;9.662;2.132;362;44;14.221
Galicia;1.446;3.678;525;249;33.177;5.682;843;576;46.176
Madrid (Comunidad de);17.958;51.805;1.410;577;363.030;23.659;3.225;980;462.644
Murcia (Región de);995;1.881;568;18;20.265;5.145;1.771;333;30.976
Navarra (Comunidad Foral de);462;929;90;32;7.673;1.489;468;244;11.387
País Vasco;1.668;2.352;254;257;28.424;5.801;617;1.194;40.567
Rioja (La);229;366;77;15;3.246;573;209;50;4.765
Ceuta y Melilla;16;111;1;1;2.250;1.333;0;22;3.734
Total;51.691;108.210;8.923;2.092;953.624;173.435;17.345;10.373;1.325.693
;;;;;;;;;
;;;;;;;;;
