V.1. Vehículos matriculados, Distribuidos por meses y tipos. Año 2018.;;;;;;;;;;
;;;;;;;;;;
mes;"CAMIONES
<= 3500";FURGONETAS;"CAMIONES
> 3500";AUTOBUSES;TURISMOS;MOTOCICLETAS;"TRACTORES
INDUSTRIALES";"OTROS
VEHÍCULOS";TOTAL;%
ENERO;5281;9904;882;372;109890;11178;1812;543;139862;7,64
FEBRERO;6106;9430;819;374;119675;9765;1514;661;148344;8,1
MARZO;6537;10463;933;369;137809;11964;1505;991;170571;9,31
ABRIL;6708;10472;954;309;125659;14159;1385;756;160402;8,76
MAYO;7018;11847;1040;318;145148;17562;1335;862;185130;10,1
JUNIO;6849;12688;1037;235;151780;17793;1285;1013;192680;10,5
JULIO;6665;11896;1059;239;139407;18262;1246;941;179715;9,81
AGOSTO;5793;9703;787;96;115021;12627;1164;529;145720;7,96
SEPTIEMBRE;4284;8897;661;650;76239;15593;1309;420;108053;5,9
OCTUBRE;5809;11352;914;358;97098;15070;2470;580;133651;7,3
NOVIEMBRE;5475;10922;885;245;100103;10827;1833;644;130934;7,15
DICIEMBRE;5839;10753;710;283;106929;10394;1086;500;136494;7,45
TOTAL;72364;128327;10681;3848;1424758;165194;17944;8440;1831556;100
PORCENTAJE;3,95;7,01;0,58;0,21;77,79;9,02;0,98;0,46;100;100
