Tabla 33.- V.1. Vehículos matriculados, Distribuidos por meses y tipos. Año 2021.;;;;;;;;;;
;;;;;;;;;;
Mes;"Camiones <=
3500";Furgonetas;"Camiones >
3500";Autobuses;Turismos;Motocicletas;"Tractores
industriales";"Otros
vehículos";TOTAL;%
Enero;3,694;6,169;680;143;47,378;8,235;1,597;524;68,420;5,2
Febrero;4,613;8,776;719;151;64,860;10,781;1,600;708;92,208;7,0
Marzo;6,641;10,657;834;105;94,029;15,960;1,782;1,065;131,073;9,9
Abril;5,802;10,020;733;127;85,662;15,230;1,459;956;119,989;9,1
Mayo;5,626;10,156;916;124;103,090;16,471;1,424;1,226;139,033;10,5
Junio;5,900;10,289;870;178;103,458;19,415;1,140;1,433;142,683;10,8
Julio;4,814;9,154;821;161;92,158;18,474;1,015;1,273;127,870;9,6
Agosto;2,628;6,591;618;50,0;54,542;11,846;908;639;77,822;5,9
Septiembre;2,654;8,839;643;411;67,792;16,020;1,427;507;98,293;7,4
Octubre;2,768;9,280;671;176;67,874;14,311;2,091;583;97,754;7,4
Noviembre;2,948;8,958;772;264;76,507;13,860;1,713;794;105,816;8,0
Diciembre;3,603;9,321;646;202;96,274;12,832;1,189;665;124,732;9,4
Total;51,691;108,210;8,923;2,092;953,624;173,435;17,345;10,373;1.325.693;100,0
Porcentaje;3,9;8,2;0,7;0,2;71,9;13,1;1,3;0,8;100,0;100,0
