V.1.11 Matriculaciones de motocicletas por distintivo medioambiental. Año 2020.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;4;0;564;2;11;7
Albacete;71;0;880;2;8;6
Alicante/Alacant;59;12;5904;3;242;52
Almería;3;1;1568;0;53;22
Ávila;2;0;95;0;6;7
Badajoz;5;0;1234;5;5;7
Balears (Illes);92;7;3697;0;58;58
Barcelona;784;7;30488;21;79;399
Burgos;14;3;474;5;5;8
Cáceres;3;1;595;0;4;5
Cádiz;94;1;5306;3;18;22
Castellón/Castelló;8;0;926;0;27;21
Ciudad Real;8;0;556;0;8;10
Córdoba;23;2;2282;2;9;8
Coruña (A);13;3;1429;5;49;33
Cuenca;4;0;175;0;4;5
Girona;39;4;3430;3;17;21
Granada;28;4;3769;2;21;21
Guadalajara;0;0;364;1;3;8
Gipuzkoa;35;2;2397;2;19;16
Huelva;93;0;1312;1;3;30
Huesca;2;0;164;1;5;34
Jaén;81;0;1007;1;13;16
León;21;2;633;1;10;11
Lleida;5;0;1088;1;7;12
Rioja (La);3;1;690;1;5;7
Lugo;1;0;352;1;3;12
Madrid;5071;5;25361;40;120;321
Málaga;252;5;7685;3;196;74
Murcia;45;11;4437;9;106;50
Navarra;29;1;1450;2;9;14
Ourense;6;1;370;1;14;8
Asturias;28;2;2060;4;24;15
Palencia;2;0;146;0;1;3
Palmas (Las);182;3;3246;0;28;18
Pontevedra;26;2;2776;4;53;61
Salamanca;3;0;466;1;6;1
Santa Cruz de Tenerife;53;7;4033;0;51;14
Cantabria;60;0;1687;4;11;24
Segovia;3;0;620;0;6;2
Sevilla;27;2;5029;3;21;37
Soria;0;0;108;0;2;1
Tarragona;59;3;2705;5;16;13
Teruel;1;0;124;0;1;0
Toledo;10;1;1455;0;18;17
Valencia/València;182;8;8452;4;89;101
Valladolid;22;2;1224;0;7;12
Bizkaia;31;1;2443;3;14;12
Zamora;0;0;120;1;1;0
Zaragoza;90;1;2533;3;11;15
Ceuta;2;0;739;0;1;0
Melilla;6;1;497;0;5;0
Total;7685;106;151145;150;1503;1671
