V.1.10 Matriculaciones de turismos por distintivo medioambiental. Año 2017.;;;;;;
;;;;;;
PROVINCIAS;CERO;B;C;ECO;"Sin
distintivo";"Se
desconoce"
Araba/Álava;36;171;6600;364;80;622
Albacete;11;191;5651;287;299;399
Alicante/Alacant;87;3372;66519;1752;1147;5650
Almería;20;1074;10376;449;351;33
Ávila;9;48;1401;137;26;17
Badajoz;13;600;10827;431;100;18
Balears (Illes);173;568;43847;1471;814;4656
Barcelona;1063;2115;137906;10936;1141;10567
Burgos;37;223;6438;616;72;202
Cáceres;8;222;3277;245;71;8
Cádiz;30;750;18604;1245;866;76
Castellón/Castelló;21;491;12923;561;183;3370
Ciudad Real;15;132;6067;193;65;13
Córdoba;22;849;12080;511;132;35
Coruña (A);74;1111;18744;1757;409;105
Cuenca;0;110;1195;14;50;8
Girona;65;711;14484;1169;295;1064
Granada;23;1586;12951;735;334;29
Guadalajara;39;116;5395;76;55;42
Gipuzkoa;40;357;12364;561;230;537
Huelva;7;372;6107;234;153;39
Huesca;18;104;4595;196;66;62
Jaén;16;1024;8981;71;167;28
León;11;521;5594;476;144;276
Lleida;27;220;7290;412;113;246
Rioja (La);17;273;5663;407;82;314
Lugo;8;234;5915;189;124;74
Madrid;3139;6605;318448;19455;1469;33585
Málaga;107;2114;34447;1851;1336;1003
Murcia;59;2960;26354;1216;795;253
Navarra;45;897;11274;516;413;336
Ourense;8;554;4861;315;246;108
Asturias;57;573;18292;789;246;1206
Palencia;7;76;1919;6;33;10
Palmas (Las);135;332;38581;560;233;678
Pontevedra;47;860;12251;163;290;131
Salamanca;17;144;6684;1732;91;157
Santa Cruz de Tenerife;91;601;21114;351;399;46
Cantabria;34;436;10385;511;126;68
Segovia;8;49;1450;120;44;5
Sevilla;65;475;33248;1710;261;107
Soria;3;22;1294;70;13;2
Tarragona;39;731;14532;1017;704;335
Teruel;3;22;2165;107;26;5
Toledo;702;1395;35157;612;197;1332
Valencia/València;180;1772;50778;1312;614;1799
Valladolid;36;790;9341;474;88;72
Bizkaia;133;991;18687;1016;174;1387
Zamora;6;86;1686;125;77;7
Zaragoza;63;616;17203;979;201;2037
Ceuta;4;134;997;66;241;9
Melilla;4;173;1167;71;372;2
Total;6882;40953;1144109;60639;16258;73170
