V.1.10 Matriculaciones de turismos por distintivo medioambiental. Año 2021.;;;;;;;
;;;;;;;
Provincias;CERO;B;C;ECO;Sin distintivo;Se desconoce;
Araba/Álava;320;94;3.528;1.324;25;367;
Albacete;210;104;2.904;1.129;25;2.256;
Alicante/Alacant;2.014;2.580;25.011;10.618;633;1.175;
Almería;225;1.050;4.055;1.427;169;68;
Ávila;69;49;639;297;15;4;
Badajoz;224;455;4.998;1.721;32;18;
Balears (Illes);1.135;593;15.433;3.922;329;3.450;
Barcelona;7.069;1.208;59.584;25.404;254;7.366;
Burgos;265;208;2.816;1.259;35;74;
Cáceres;45;140;1.334;661;27;7;
Cádiz;424;525;9.608;2.813;679;52;
Castellón/Castelló;343;364;11.453;3.078;94;789;
Ciudad Real;189;150;2.828;794;42;15;
Córdoba;493;496;10.162;3.182;54;108;
Coruña (A);724;975;9.802;3.275;194;230;
Cuenca;35;71;495;184;17;3;
Girona;586;510;5.894;2.512;113;1.071;
Granada;395;1.506;6.263;1.422;173;32;
Guadalajara;330;106;2.023;344;21;10;
Gipuzkoa;522;164;5.405;1.955;59;623;
Huelva;80;227;1.485;628;40;4;
Huesca;166;59;2.295;704;40;204;
Jaén;183;690;4.443;1.391;78;41;
León;238;343;4.115;1.249;61;100;
Lleida;364;215;3.531;1.318;74;368;
Rioja (La);154;137;2.070;598;67;220;
Lugo;218;238;2.895;1.086;50;10;
Madrid;31.224;1.645;233.044;89.820;355;6.942;
Málaga;982;1.816;18.702;4.923;493;1.103;
Murcia;607;3.599;11.577;3.810;471;201;
Navarra;486;339;4.786;1.688;102;272;
Ourense;124;490;2.758;900;112;28;
Asturias;626;321;7.917;3.038;133;886;
Palencia;57;33;922;195;14;102;
Palmas (Las);1.764;127;18.766;3.601;74;113;
Pontevedra;274;985;5.748;1.556;149;356;
Salamanca;257;99;3.207;2.817;38;36;
Santa Cruz de Tenerife;995;271;9.926;2.022;211;33;
Cantabria;612;454;5.995;2.710;52;298;
Segovia;102;43;1.223;419;28;23;
Sevilla;918;502;15.540;4.909;199;40;
Soria;37;24;608;219;14;1;
Tarragona;593;599;6.710;2.597;136;535;
Teruel;61;17;905;356;9;3;
Toledo;424;925;9.364;1.922;190;70;
Valencia/València;1.724;1.091;20.240;7.522;223;1.586;
Valladolid;339;109;3.659;1.695;29;40;
Bizkaia;746;369;8.368;3.482;59;1.014;
Zamora;58;99;1.026;467;24;28;
Zaragoza;492;255;6.160;3.048;64;4.198;
Ceuta;20;38;737;190;14;6;
Melilla;21;116;742;289;77;0;
Total;60.563;27.623;603.699;218.490;6.670;36.579;
